Hospitalizations - Total,Cases - Total,Deaths - Total,Date,average_temperature,humidity_level,public_health_measures_index,vaccination_rate,population_density,healthcare_capacity,air_quality_index,average_age_of_cases,comorbidity_prevalence,economic_activity_index
50.0,346,7,05/17/2021,15.0,70.0,,40.0,4600.0,,45.0,,,
30.0,546,5,08/19/2021,25.0,70.0,,60.0,11883.0,,50.0,,,
42.0,811,1,08/04/2022,75.0,65.0,,70.0,11883.0,,50.0,,,
72.0,579,4,04/22/2021,10.0,,,,,,,,,
19.0,322,2,10/19/2021,15.0,70.0,,65.0,11883.0,,45.0,,,
3.0,36,0,07/01/2023,75.0,65.0,,70.0,,,50.0,,,
26.0,324,3,07/17/2020,25.0,70.0,,,11883.0,,45.0,,,
32.0,321,6,09/11/2021,22.0,70.0,,65.0,11883.0,,45.0,,,
51.0,677,4,04/13/2021,10.0,60.0,,30.0,,,45.0,,,
117.0,2326,17,11/18/2020,8.3,75.0,,,11883.0,,45.0,,,
46.0,612,4,12/27/2022,,,,,,,,,,
23.0,353,6,09/24/2021,18.0,70.0,,60.0,11883.0,,50.0,,,
9.0,203,0,05/02/2023,12.0,65.0,,75.0,4600.0,,45.0,,,
26.0,245,9,06/24/2020,25.0,70.0,,,4600.0,,50.0,,,
34.0,154,9,05/16/2021,15.0,70.0,,40.0,4600.0,,45.0,,,
18.0,165,0,10/19/2023,,,,,,,,,,
24.0,138,0,03/05/2023,40.0,70.0,,75.0,11883.0,,45.0,,,
25.0,241,1,11/06/2022,8.0,75.0,,70.0,4600.0,,45.0,,,
49.0,230,14,05/02/2021,12.0,65.0,,30.0,11883.0,,45.0,,,
22.0,292,2,03/03/2023,3.0,70.0,,70.0,11883.0,,45.0,,,
18.0,236,0,03/22/2023,45.0,60.0,,75.0,11883.0,,42.0,,,
59.0,656,6,04/16/2021,10.0,60.0,,30.0,4600.0,,50.0,,,
30.0,450,1,08/13/2022,75.0,70.0,,70.0,11883.0,,50.0,,,
31.0,357,13,02/12/2021,,,,,,,,,,
55.0,668,6,11/24/2021,4.4,75.0,,65.3,11883.0,,42.0,,,
20.0,305,4,02/17/2022,,,,,,,,,,
28.0,536,0,05/29/2022,70.0,60.0,,67.5,11883.0,,45.0,,,
62.0,1454,13,01/06/2021,1.1,80.0,,,11883.0,,35.0,,,
27.0,290,1,01/16/2023,,,,,,,,,,
63.0,1058,8,12/02/2021,3.0,75.0,,,4600.0,,40.0,,,
44.0,517,13,11/26/2021,4.0,70.0,,65.0,11883.0,,45.0,,,
27.0,369,2,09/21/2022,20.0,70.0,,70.0,4600.0,,50.0,,,
27.0,227,6,02/12/2022,32.0,,,,,,,,,
23.0,428,3,10/04/2021,18.0,70.0,,65.0,11883.0,,45.0,,,
42.0,273,15,06/08/2020,25.0,70.0,,,4600.0,,50.0,,,
25.0,495,1,11/04/2021,9.0,75.0,,65.0,11883.0,,42.0,,,
30.0,238,0,01/08/2023,,,,,4600.0,,,,,
18.0,180,4,03/14/2021,40.0,,,,,,,,,
44.0,592,16,01/29/2021,30.0,70.0,,5.0,11883.0,,45.0,,,
23.0,239,1,10/31/2021,12.0,75.0,,60.0,11883.0,,45.0,,,
23.0,120,18,06/13/2020,22.0,70.0,,,11883.0,,45.0,,,
30.0,569,9,02/08/2022,,,,,,,,,,
39.0,162,1,03/18/2020,5.0,,8.0,,11883.0,,,,,
50.0,763,1,12/05/2022,2.0,75.0,,70.0,11883.0,,45.0,,,
26.0,850,3,10/14/2020,15.0,70.0,,,11883.0,,50.0,,,
100.0,520,53,05/09/2020,20.0,70.0,,,11883.0,,50.0,,,
83.0,2053,35,12/08/2020,2.8,75.0,,,11883.0,,45.0,,,
10.0,133,0,08/10/2023,,,,,,,,,,
133.0,2011,32,01/17/2022,,,,,11883.0,,,,,
17.0,110,0,09/10/2023,,,,,,,,,,
8.0,42,0,06/23/2023,,,,,,,,,,
19.0,186,1,04/06/2023,10.5,65.0,,75.3,11883.0,,42.0,,,
25.0,203,0,01/21/2023,,,,,,,,,,
5.0,38,0,06/10/2023,,,,,,,,,,
33.0,364,4,07/22/2020,25.0,70.0,,,11883.0,,50.0,,,
168.0,1157,35,04/27/2020,12.0,65.0,7.0,,4600.0,,45.0,,,
26.0,288,8,03/04/2021,8.0,,,,,,,,,
25.0,1269,1,05/02/2022,12.0,65.0,,70.0,11883.0,,45.0,,,
5.0,173,1,03/27/2022,45.0,65.0,,70.0,11883.0,,40.0,,,
34.0,343,5,09/04/2021,22.0,70.0,,60.0,11883.0,,45.0,,,
17.0,203,1,07/19/2021,75.0,70.0,,60.5,11883.0,,45.0,,,
38.0,171,17,01/31/2021,30.0,70.0,,5.0,11883.0,,45.0,,,
37.0,147,3,01/01/2023,2.0,75.0,,75.0,11883.0,,50.0,,,
29.0,268,5,07/31/2021,25.0,70.0,,60.0,11883.0,,45.0,,,
20.0,190,5,09/25/2022,18.0,70.0,,70.0,4600.0,,50.0,,,
13.0,224,1,07/22/2021,24.0,70.0,,55.0,,,45.0,,,
38.0,683,1,11/19/2021,5.0,75.0,,70.0,11883.0,,50.0,,,
116.0,2167,17,11/19/2020,8.3,75.0,,,11883.0,,42.0,,,
78.0,955,19,12/26/2020,32.0,75.0,,,11883.0,,40.0,,,
128.0,2489,9,11/11/2020,45.0,70.0,,,11883.0,,50.0,,,
52.0,275,11,04/25/2021,12.0,65.0,,30.0,,,45.0,,,
32.0,468,2,01/17/2023,,,,,,,,,,
7.0,21,0,03/12/2020,5.0,,,,11883.0,,,,,
8.0,117,0,10/05/2023,15.0,70.0,,75.0,11883.0,,50.0,,,
19.0,265,0,02/03/2023,,,,,,,,,,
39.0,531,4,08/10/2021,18.0,70.0,,65.0,11883.0,,50.0,,,
32.0,318,8,02/19/2021,28.0,,,,,,,,,
30.0,442,2,10/03/2022,15.0,70.0,,70.0,4600.0,,50.0,,,
160.0,464,24,04/03/2020,8.0,65.0,,,11883.0,,45.0,,,
3.0,0,0,03/03/2020,4.0,70.0,7.0,,4600.0,,50.0,,,
20.0,365,0,02/10/2023,15.0,70.0,,75.0,4600.0,,50.0,,,
102.0,514,28,05/16/2020,15.0,70.0,,,11883.0,,45.0,,,
25.0,341,3,09/03/2020,22.0,70.0,,,4600.0,,45.0,,,
32.0,350,3,12/14/2023,,,,,,,,,,
36.0,580,11,02/04/2022,,,,,,,,,,
16.0,95,7,06/03/2021,,,,,,,,,,
43.0,375,1,12/04/2022,2.0,75.0,,70.0,11883.0,,45.0,,,
104.0,1400,16,11/14/2020,45.0,70.0,,,11883.0,,50.0,,,
12.0,95,0,10/14/2023,15.0,70.0,,75.0,11883.0,,50.0,,,
32.0,221,0,11/09/2023,,,,,,,,,,
22.0,485,5,08/19/2020,24.0,70.0,,,11883.0,,45.0,,,
44.0,642,0,08/12/2022,25.0,70.0,,75.0,11883.0,,45.0,,,
33.0,284,7,08/22/2021,25.0,70.0,,60.0,4600.0,,45.0,,,
140.0,939,49,05/07/2020,16.0,70.0,,,4600.0,,50.0,,,
24.0,200,0,09/18/2023,22.0,70.0,,75.0,11883.0,,45.0,,,
91.0,2173,12,12/13/2021,1.1,75.0,,70.5,11883.0,,45.0,,,
30.0,319,15,06/04/2020,15.0,60.0,,,4600.0,,45.0,,,
29.0,430,0,09/20/2022,22.0,70.0,,70.5,11883.0,,45.0,,,
14.0,211,0,08/21/2023,75.0,70.0,,70.0,11883.0,,50.0,,,
66.0,659,20,01/03/2021,2.0,75.0,,,11883.0,,45.0,,,
24.0,406,7,09/22/2021,21.0,65.0,,65.0,11883.0,,45.0,,,
97.0,326,41,05/17/2020,15.0,70.0,,,11883.0,,45.0,,,
194.0,556,25,04/07/2020,12.0,,,,4600.0,,,,,
19.0,451,0,02/08/2023,,,,,,,,,,
19.0,329,2,09/10/2020,18.0,70.0,,,4600.0,,45.0,,,
23.0,307,1,03/16/2023,5.0,70.0,,75.0,11883.0,,45.0,,,
152.0,694,32,04/13/2020,8.3,65.0,7.0,,11883.0,,45.0,,,
30.0,547,1,03/22/2021,8.3,65.0,,15.2,,,42.0,,,
61.0,493,3,11/28/2021,4.0,75.0,,67.0,11883.0,,45.0,,,
6.0,43,0,06/08/2023,,,,,,,,,,
10.0,35,2,06/18/2021,25.0,70.0,,50.0,,,50.0,,,
12.0,163,2,03/08/2022,,,,,,,,,,
46.0,911,1,08/08/2022,25.0,70.0,,70.0,4600.0,,50.0,,,
26.0,489,3,08/17/2020,25.0,70.0,,,11883.0,,50.0,,,
33.0,487,6,09/20/2021,21.0,70.0,,65.0,11883.0,,45.0,,,
26.0,279,4,09/06/2021,22.0,70.0,,65.0,11883.0,,45.0,,,
98.0,306,38,05/10/2020,15.0,70.0,,,4600.0,,50.0,,,
2.0,60,0,06/20/2023,22.0,65.0,,70.0,11900.0,,45.0,,,
128.0,434,51,04/26/2020,12.0,60.0,,,11883.0,,45.0,,,
29.0,219,13,06/26/2020,75.0,70.0,7.0,,11883.0,,45.0,,,
25.0,256,6,07/02/2020,25.0,70.0,,,4600.0,,50.0,,,
11.0,200,0,04/25/2023,10.5,65.0,,75.3,11883.0,,42.0,,,
129.0,1017,38,05/11/2020,48.0,,,,11883.0,,,,,
43.0,691,2,08/17/2022,75.0,70.0,,,11883.0,,50.0,,,
171.0,873,36,04/21/2020,8.0,60.0,7.0,,4600.0,,50.0,,,
19.0,168,4,02/13/2022,28.0,,,,11883.0,,,,,
66.0,715,14,01/18/2021,,,,,11883.0,,,,,
127.0,2374,19,11/23/2020,5.0,75.0,,,11883.0,,45.0,,,
