Household/family type,SERIALNO,INTP_adj,median_income_by_neighborhood,average_household_size_by_neighborhood,unemployment_rate_by_neighborhood,education_level_distribution_by_neighborhood,crime_rate_by_neighborhood,average_rent_by_neighborhood,percentage_of_owner_occupied_homes_by_neighborhood
2,1556,0.0,,,,,,,
2,1556,0.0,,,,,,,
2,1556,0.0,,,,,,,
1,1761,1013.097,,,,,,,
1,1761,0.0,,,,,,,
1,1761,0.0,,,,,,,
1,1761,0.0,,,,,,,
1,1761,0.0,,,,,,,
1,1761,0.0,,,,,,,
1,1810,0.0,,,,,,,
1,1810,0.0,,,,,,,
1,1810,0.0,,,,,,,
1,1810,0.0,,,,,,,
1,1810,0.0,,,,,,,
4,1818,0.0,,,,,,,
1,1845,0.0,,,,,,,
1,1845,0.0,,,,,,,
1,1845,0.0,,,,,,,
6,1862,0.0,,,,,,,
1,1969,0.0,,,,,,,
1,1969,0.0,,,,,,,
1,1969,0.0,,,,,,,
1,1969,0.0,,,,,,,
1,1982,0.0,,,,,,,
1,1982,0.0,,,,,,,
1,1982,0.0,,,,,,,
1,1982,0.0,,,,,,,
1,2028,0.0,,,,,,,
1,2028,0.0,,,,,,,
1,2028,0.0,,,,,,,
1,2028,0.0,,,,,,,
7,2102,0.0,,,,,,,
7,2102,0.0,,,,,,,
1,2131,0.0,,,,,,,
1,2131,0.0,,,,,,,
6,2158,0.0,,,,,,,
6,2237,3545.8396,,,,,,,
1,2338,506.54849,,,,,,,
1,2338,0.0,,,,,,,
1,2338,0.0,,,,,,,
4,2381,5065.4849,,,,,,,
6,2387,30.39291,,,,,,,
1,2476,0.0,,,,,,,
1,2476,0.0,,,,,,,
1,2476,0.0,,,,,,,
1,2623,0.0,,,,,,,
1,2623,0.0,,,,,,,
1,2623,0.0,,,,,,,
1,2658,0.0,,,,,,,
1,2658,0.0,,,,,,,
1,2660,0.0,,,,,,,
1,2660,0.0,,,,,,,
1,2660,0.0,,,,,,,
1,2660,0.0,,,,,,,
6,2715,0.0,,,,,,,
1,2796,6787.75,,,,,,,
1,2796,0.0,,,,,,,
3,2860,0.0,,,,,,,
3,2860,0.0,,,,,,,
1,2876,0.0,,,,,,,
1,2876,0.0,,,,,,,
1,2876,0.0,,,,,,,
1,2876,0.0,,,,,,,
4,2880,50.65485,,,,,,,
1,2911,0.0,,,,,,,
1,2911,0.0,,,,,,,
1,3030,0.0,,,,,,,
1,3030,0.0,,,,,,,
1,3030,0.0,,,,,,,
1,3030,0.0,,,,,,,
6,3117,0.0,,,,,,,
1,3194,0.0,,,,,,,
1,3194,0.0,,,,,,,
1,3194,0.0,,,,,,,
1,3194,0.0,,,,,,,
1,3194,0.0,,,,,,,
1,3194,0.0,,,,,,,
1,3194,0.0,,,,,,,
3,3273,20.26194,,,,,,,
3,3273,0.0,,,,,,,
3,3273,0.0,,,,,,,
3,3273,0.0,,,,,,,
1,3335,0.0,,,,,,,
1,3335,0.0,,,,,,,
1,3335,0.0,,,,,,,
1,3335,0.0,,,,,,,
1,3346,486.28656,,,,,,,
1,3346,0.0,,,,,,,
2,3359,0.0,,,,,,,
2,3359,0.0,,,,,,,
2,3359,0.0,,,,,,,
2,3359,0.0,,,,,,,
2,3359,0.0,,,,,,,
2,3359,0.0,,,,,,,
4,3445,0.0,,,,,,,
6,3481,14892.526,,,,,,,
3,3622,0.0,,,,,,,
3,3622,0.0,,,,,,,
3,3622,0.0,,,,,,,
1,3765,1620.9552,,,,,,,
1,3765,0.0,,,,,,,
1,3765,0.0,,,,,,,
1,3765,0.0,,,,,,,
1,3776,0.0,,,,,,,
1,3776,0.0,,,,,,,
5,3803,0.0,,,,,,,
5,3803,0.0,,,,,,,
5,3803,0.0,,,,,,,
3,3865,0.0,,,,,,,
3,3865,0.0,,,,,,,
3,3865,0.0,,,,,,,
3,3865,0.0,,,,,,,
3,3865,0.0,,,,,,,
3,3865,0.0,,,,,,,
3,3865,0.0,,,,,,,
6,3872,0.0,,,,,,,
1,3876,20261.939,,,,,,,
1,3876,0.0,,,,,,,
1,3876,0.0,,,,,,,
1,3876,0.0,,,,,,,
1,3959,0.0,,,,,,,
1,3959,0.0,,,,,,,
1,3959,0.0,,,,,,,
1,3959,0.0,,,,,,,
1,3959,0.0,,,,,,,
1,3959,0.0,,,,,,,
1,4062,0.0,,,,,,,
1,4062,0.0,,,,,,,
1,4082,0.0,,,,,,,
1,4082,0.0,,,,,,,
1,4082,0.0,,,,,,,
1,4082,0.0,,,,,,,
1,4138,0.0,,,,,,,
1,4138,0.0,,,,,,,
6,4315,0.0,,,,,,,
1,4347,0.0,,,,,,,
1,4347,0.0,,,,,,,
1,4347,0.0,,,,,,,
7,4410,303.92911,,,,,,,
7,4410,0.0,,,,,,,
3,17588,0.0,,,,,,,
7,4410,0.0,,,,,,,
6,4485,0.0,,,,,,,
1,4498,0.0,,,,,,,
1,4498,0.0,,,,,,,
6,4542,0.0,,,,,,,
1,4572,0.0,,,,,,,
1,4572,0.0,,,,,,,
1,4572,3039.291,,,,,,,
7,4621,0.0,,,,,,,
7,4621,0.0,,,,,,,
7,4621,0.0,,,,,,,
4,4769,0.0,,,,,,,
6,4920,0.0,,,,,,,
3,4946,0.0,,,,,,,
3,4946,0.0,,,,,,,
3,4946,0.0,,,,,,,
3,4946,0.0,,,,,,,
3,4946,0.0,,,,,,,
3,4946,0.0,,,,,,,
1,4947,15196.455,,,,,,,
1,4947,0.0,,,,,,,
1,4947,0.0,,,,,,,
1,4947,0.0,,,,,,,
1,4947,0.0,,,,,,,
1,4947,0.0,,,,,,,
3,4962,0.0,,,,,,,
3,4962,0.0,,,,,,,
3,4962,0.0,,,,,,,
1,5019,0.0,,,,,,,
1,5019,0.0,,,,,,,
1,5019,0.0,,,,,,,
6,5220,0.0,,,,,,,
6,5271,0.0,,,,,,,
4,5380,0.0,,,,,,,
6,5430,0.0,,,,,,,
5,5442,0.0,,,,,,,
5,5442,0.0,,,,,,,
5,5442,0.0,,,,,,,
5,5442,101.3097,,,,,,,
5,5442,0.0,,,,,,,
3,5637,0.0,,,,,,,
3,5637,0.0,,,,,,,
1,5666,0.0,,,,,,,
1,5666,0.0,,,,,,,
1,5666,0.0,,,,,,,
1,5666,0.0,,,,,,,
3,5676,0.0,,,,,,,
3,5676,0.0,,,,,,,
3,5676,0.0,,,,,,,
2,5750,60.78582,,,,,,,
2,5750,0.0,,,,,,,
3,5774,0.0,,,,,,,
3,5774,0.0,,,,,,,
3,5774,0.0,,,,,,,
4,5779,0.0,,,,,,,
1,5881,0.0,,,,,,,
1,5881,0.0,,,,,,,
1,5881,0.0,,,,,,,
1,5881,0.0,,,,,,,
1,6009,0.0,,,,,,,
1,6009,0.0,,,,,,,
1,6009,749.69177,,,,,,,
1,6009,0.0,,,,,,,
6,6070,0.0,,,,,,,
4,6078,0.0,,,,,,,
1,6159,506.54849,,,,,,,
1,6159,0.0,,,,,,,
1,6159,0.0,,,,,,,
1,6159,0.0,,,,,,,
6,6178,0.0,,,,,,,
6,6199,0.0,,,,,,,
6,6309,0.0,,,,,,,
6,6335,0.0,,,,,,,
6,6430,0.0,,,,,,,
1,6445,0.0,,,,,,,
1,6445,0.0,,,,,,,
1,6445,0.0,,,,,,,
1,6445,0.0,,,,,,,
1,6445,0.0,,,,,,,
1,6464,9523.1113,,,,,,,
1,6464,9523.1113,,,,,,,
4,6549,0.0,,,,,,,
6,6587,0.0,,,,,,,
1,6684,0.0,,,,,,,
1,6684,0.0,,,,,,,
1,6684,0.0,,,,,,,
1,6684,0.0,,,,,,,
3,6798,0.0,,,,,,,
3,6798,0.0,,,,,,,
2,6842,0.0,,,,,,,
2,6842,0.0,,,,,,,
2,6842,0.0,,,,,,,
2,6842,0.0,,,,,,,
1,6882,0.0,,,,,,,
1,6882,5065.4849,,,,,,,
4,6954,0.0,,,,,,,
6,6972,0.0,,,,,,,
6,7139,0.0,,,,,,,
3,7218,0.0,,,,,,,
3,7218,0.0,,,,,,,
3,7218,0.0,,,,,,,
1,7268,0.0,,,,,,,
1,7268,0.0,,,,,,,
1,7268,0.0,,,,,,,
1,7268,0.0,,,,,,,
1,7268,0.0,,,,,,,
1,7268,0.0,,,,,,,
6,7296,0.0,,,,,,,
1,7309,0.0,,,,,,,
1,7309,0.0,,,,,,,
7,7351,0.0,,,,,,,
7,7351,0.0,,,,,,,
5,7356,10.13097,,,,,,,
5,7356,0.0,,,,,,,
1,7417,0.0,,,,,,,
1,7417,0.0,,,,,,,
1,7417,0.0,,,,,,,
1,7417,0.0,,,,,,,
6,7462,2532.7424,,,,,,,
4,7503,0.0,,,,,,,
4,7555,0.0,,,,,,,
1,7690,0.0,,,,,,,
1,7690,0.0,,,,,,,
4,7698,1215.7164,,,,,,,
6,7704,0.0,,,,,,,
6,7718,0.0,,,,,,,
3,7736,0.0,,,,,,,
3,7736,0.0,,,,,,,
3,7736,0.0,,,,,,,
3,7736,0.0,,,,,,,
1,7879,0.0,,,,,,,
1,7879,0.0,,,,,,,
1,7879,0.0,,,,,,,
4,7964,30392.91,,,,,,,
1,8007,0.0,,,,,,,
1,8007,0.0,,,,,,,
1,8007,0.0,,,,,,,
1,8007,0.0,,,,,,,
3,8108,0.0,,,,,,,
3,8108,0.0,,,,,,,
3,8108,0.0,,,,,,,
3,8144,0.0,,,,,,,
3,8144,0.0,,,,,,,
6,8150,0.0,,,,,,,
1,8168,0.0,,,,,,,
1,8168,0.0,,,,,,,
3,8172,0.0,,,,,,,
3,8172,0.0,,,,,,,
1,8211,0.0,,,,,,,
1,8211,0.0,,,,,,,
1,8211,0.0,,,,,,,
1,8211,0.0,,,,,,,
1,8244,0.0,,,,,,,
1,8244,0.0,,,,,,,
6,8446,0.0,,,,,,,
1,8517,0.0,,,,,,,
1,8517,0.0,,,,,,,
1,8517,0.0,,,,,,,
1,8517,0.0,,,,,,,
1,8517,0.0,,,,,,,
3,8530,0.0,,,,,,,
3,8530,0.0,,,,,,,
3,8530,0.0,,,,,,,
3,8530,0.0,,,,,,,
4,8541,0.0,,,,,,,
1,8601,0.0,,,,,,,
1,8601,0.0,,,,,,,
3,8786,0.0,,,,,,,
3,8786,0.0,,,,,,,
3,8786,0.0,,,,,,,
3,8786,0.0,,,,,,,
6,8877,0.0,,,,,,,
3,8889,0.0,,,,,,,
3,8889,0.0,,,,,,,
1,8945,0.0,,,,,,,
1,8945,0.0,,,,,,,
1,8945,0.0,,,,,,,
2,9063,0.0,,,,,,,
2,9063,0.0,,,,,,,
3,9086,0.0,,,,,,,
3,9086,0.0,,,,,,,
3,9086,0.0,,,,,,,
3,9086,0.0,,,,,,,
3,9086,0.0,,,,,,,
3,9086,0.0,,,,,,,
1,9098,25327.426,,,,,,,
1,9098,12157.164,,,,,,,
3,9105,0.0,,,,,,,
3,9105,0.0,,,,,,,
3,9105,0.0,,,,,,,
3,9105,0.0,,,,,,,
3,9105,0.0,,,,,,,
2,9207,0.0,,,,,,,
2,9207,0.0,,,,,,,
6,9248,0.0,,,,,,,
4,9268,0.0,,,,,,,
6,9278,0.0,,,,,,,
1,9405,0.0,,,,,,,
1,9405,0.0,,,,,,,
1,9405,0.0,,,,,,,
4,9485,0.0,,,,,,,
2,9583,0.0,,,,,,,
2,9583,0.0,,,,,,,
6,9602,0.0,,,,,,,
3,9650,0.0,,,,,,,
3,9650,0.0,,,,,,,
3,9731,0.0,,,,,,,
3,9731,0.0,,,,,,,
3,9737,0.0,,,,,,,
3,9737,0.0,,,,,,,
5,9909,0.0,,,,,,,
5,9909,-1620.9552,,,,,,,
1,9918,0.0,,,,,,,
1,9918,0.0,,,,,,,
1,9918,0.0,,,,,,,
1,9918,0.0,,,,,,,
1,9918,0.0,,,,,,,
1,10009,0.0,,,,,,,
1,10009,0.0,,,,,,,
1,10009,0.0,,,,,,,
1,10009,0.0,,,,,,,
1,10009,0.0,,,,,,,
3,10073,0.0,,,,,,,
3,10073,0.0,,,,,,,
3,10073,0.0,,,,,,,
1,10132,0.0,,,,,,,
1,10132,0.0,,,,,,,
1,10132,0.0,,,,,,,
1,10132,0.0,,,,,,,
1,10132,0.0,,,,,,,
4,10152,0.0,,,,,,,
4,10162,0.0,,,,,,,
2,10212,0.0,,,,,,,
2,10212,0.0,,,,,,,
2,10212,0.0,,,,,,,
2,10212,101.3097,,,,,,,
2,10212,0.0,,,,,,,
2,10212,0.0,,,,,,,
5,10228,0.0,,,,,,,
5,10228,0.0,,,,,,,
1,10259,2026.194,,,,,,,
1,10259,0.0,,,,,,,
6,10352,303.92911,,,,,,,
1,10448,0.0,,,,,,,
1,10448,0.0,,,,,,,
1,10448,0.0,,,,,,,
1,10448,0.0,,,,,,,
1,10467,9421.8018,,,,,,,
1,10467,0.0,,,,,,,
1,10467,0.0,,,,,,,
2,10584,0.0,,,,,,,
2,10584,0.0,,,,,,,
2,10584,0.0,,,,,,,
1,10595,0.0,,,,,,,
1,10595,0.0,,,,,,,
1,10595,0.0,,,,,,,
1,10595,0.0,,,,,,,
1,10595,0.0,,,,,,,
5,10672,0.0,,,,,,,
5,10672,0.0,,,,,,,
3,10719,0.0,,,,,,,
3,10719,0.0,,,,,,,
3,10719,0.0,,,,,,,
1,10776,0.0,,,,,,,
1,10776,0.0,,,,,,,
1,10776,0.0,,,,,,,
1,10776,0.0,,,,,,,
1,10776,0.0,,,,,,,
5,10829,0.0,,,,,,,
5,10829,0.0,,,,,,,
6,10843,0.0,,,,,,,
6,10877,15196.455,,,,,,,
1,10903,10130.97,,,,,,,
1,10903,2532.7424,,,,,,,
3,10907,0.0,,,,,,,
3,10907,0.0,,,,,,,
1,10995,0.0,,,,,,,
1,10995,0.0,,,,,,,
2,11030,0.0,,,,,,,
2,11030,0.0,,,,,,,
3,11167,8104.7759,,,,,,,
3,11167,7699.5371,,,,,,,
7,11406,0.0,,,,,,,
7,11406,0.0,,,,,,,
5,11414,0.0,,,,,,,
5,11414,0.0,,,,,,,
5,11414,0.0,,,,,,,
5,11414,0.0,,,,,,,
6,11468,0.0,,,,,,,
3,11497,0.0,,,,,,,
3,11497,0.0,,,,,,,
3,11497,0.0,,,,,,,
3,11497,0.0,,,,,,,
3,11497,0.0,,,,,,,
2,11519,0.0,,,,,,,
2,11519,0.0,,,,,,,
1,11534,101.3097,,,,,,,
1,11534,101.3097,,,,,,,
1,11614,0.0,,,,,,,
1,11614,0.0,,,,,,,
1,11614,0.0,,,,,,,
1,11614,0.0,,,,,,,
6,11618,0.0,,,,,,,
5,11650,202.6194,,,,,,,
5,11650,506.54849,,,,,,,
1,11686,0.0,,,,,,,
1,11686,0.0,,,,,,,
1,11686,0.0,,,,,,,
1,11686,0.0,,,,,,,
5,11707,0.0,,,,,,,
5,11707,0.0,,,,,,,
1,11777,0.0,,,,,,,
1,11777,0.0,,,,,,,
1,11780,0.0,,,,,,,
1,11780,0.0,,,,,,,
1,11780,0.0,,,,,,,
1,11780,0.0,,,,,,,
1,11780,0.0,,,,,,,
1,11780,0.0,,,,,,,
2,11833,0.0,,,,,,,
2,11833,0.0,,,,,,,
3,12156,0.0,,,,,,,
3,12156,0.0,,,,,,,
3,12160,0.0,,,,,,,
3,12160,0.0,,,,,,,
3,12160,0.0,,,,,,,
3,12160,0.0,,,,,,,
3,12373,0.0,,,,,,,
3,12373,0.0,,,,,,,
3,12373,0.0,,,,,,,
3,12373,0.0,,,,,,,
1,12381,0.0,,,,,,,
1,12381,0.0,,,,,,,
1,12381,0.0,,,,,,,
1,12381,0.0,,,,,,,
1,12381,0.0,,,,,,,
6,12410,0.0,,,,,,,
6,12487,0.0,,,,,,,
6,12515,0.0,,,,,,,
1,12574,0.0,,,,,,,
1,12574,0.0,,,,,,,
1,12574,0.0,,,,,,,
1,12574,0.0,,,,,,,
1,12574,0.0,,,,,,,
1,12574,0.0,,,,,,,
3,12708,0.0,,,,,,,
3,12708,0.0,,,,,,,
3,12708,0.0,,,,,,,
1,12757,8611.3242,,,,,,,
1,12757,0.0,,,,,,,
1,12757,0.0,,,,,,,
1,12757,0.0,,,,,,,
1,12757,0.0,,,,,,,
6,12801,0.0,,,,,,,
1,12931,0.0,,,,,,,
1,12931,0.0,,,,,,,
1,13032,0.0,,,,,,,
1,13032,0.0,,,,,,,
1,13032,0.0,,,,,,,
1,13032,0.0,,,,,,,
1,13032,0.0,,,,,,,
4,13069,0.0,,,,,,,
1,13109,0.0,,,,,,,
1,13109,0.0,,,,,,,
3,13158,0.0,,,,,,,
3,13158,0.0,,,,,,,
3,13169,-1620.9552,,,,,,,
3,13169,0.0,,,,,,,
4,13196,0.0,,,,,,,
7,13296,0.0,,,,,,,
7,13296,0.0,,,,,,,
4,13437,0.0,,,,,,,
5,13443,0.0,,,,,,,
5,13443,0.0,,,,,,,
1,13653,0.0,,,,,,,
1,13653,0.0,,,,,,,
1,13653,0.0,,,,,,,
1,13653,0.0,,,,,,,
4,13725,0.0,,,,,,,
1,13726,1013.097,,,,,,,
1,13726,0.0,,,,,,,
1,13727,1013.097,,,,,,,
1,13727,0.0,,,,,,,
6,13747,0.0,,,,,,,
1,13751,0.0,,,,,,,
1,13751,0.0,,,,,,,
1,13751,0.0,,,,,,,
6,13761,0.0,,,,,,,
4,13785,0.0,,,,,,,
2,13811,15196.455,,,,,,,
2,13811,0.0,,,,,,,
2,13811,0.0,,,,,,,
2,13811,0.0,,,,,,,
2,13811,0.0,,,,,,,
2,13811,0.0,,,,,,,
2,13811,1013.097,,,,,,,
1,13853,0.0,,,,,,,
1,13853,0.0,,,,,,,
1,13890,0.0,,,,,,,
1,13890,0.0,,,,,,,
1,13890,0.0,,,,,,,
1,13890,0.0,,,,,,,
1,13890,0.0,,,,,,,
3,13962,0.0,,,,,,,
3,13962,0.0,,,,,,,
3,13962,0.0,,,,,,,
6,14001,0.0,,,,,,,
7,14064,0.0,,,,,,,
7,14064,0.0,,,,,,,
3,14075,0.0,,,,,,,
3,14075,0.0,,,,,,,
1,14118,0.0,,,,,,,
1,14118,0.0,,,,,,,
4,14139,0.0,,,,,,,
1,14144,0.0,,,,,,,
1,14144,0.0,,,,,,,
1,14144,0.0,,,,,,,
6,14170,50654.852,,,,,,,
1,18277,0.0,,,,,,,
1,14225,0.0,,,,,,,
1,14225,32419.104,,,,,,,
3,14234,0.0,,,,,,,
3,14234,0.0,,,,,,,
1,14401,0.0,,,,,,,
1,14401,0.0,,,,,,,
1,14401,0.0,,,,,,,
1,14401,0.0,,,,,,,
1,14401,0.0,,,,,,,
1,14401,0.0,,,,,,,
1,14534,0.0,,,,,,,
1,14534,0.0,,,,,,,
1,14534,0.0,,,,,,,
6,14549,0.0,,,,,,,
3,14585,0.0,,,,,,,
3,14585,0.0,,,,,,,
3,14585,0.0,,,,,,,
3,14585,0.0,,,,,,,
3,14585,0.0,,,,,,,
3,14630,0.0,,,,,,,
3,14630,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
3,14854,0.0,,,,,,,
4,14932,0.0,,,,,,,
1,15061,0.0,,,,,,,
1,15061,0.0,,,,,,,
3,15097,0.0,,,,,,,
3,15097,0.0,,,,,,,
3,15097,0.0,,,,,,,
1,15101,0.0,,,,,,,
1,15101,0.0,,,,,,,
4,15260,0.0,,,,,,,
1,15283,0.0,,,,,,,
1,15283,0.0,,,,,,,
1,15283,0.0,,,,,,,
4,15305,0.0,,,,,,,
1,15342,0.0,,,,,,,
1,15342,0.0,,,,,,,
1,15342,0.0,,,,,,,
1,15342,0.0,,,,,,,
6,15381,0.0,,,,,,,
1,15425,1519.6455,,,,,,,
1,15425,0.0,,,,,,,
1,15425,0.0,,,,,,,
1,15431,0.0,,,,,,,
1,15431,0.0,,,,,,,
1,15512,0.0,,,,,,,
1,15512,0.0,,,,,,,
6,15595,587.59625,,,,,,,
1,15630,0.0,,,,,,,
1,15630,0.0,,,,,,,
1,15630,0.0,,,,,,,
1,15630,0.0,,,,,,,
1,15630,0.0,,,,,,,
1,15644,0.0,,,,,,,
1,15644,0.0,,,,,,,
1,15644,0.0,,,,,,,
1,15644,0.0,,,,,,,
5,15666,0.0,,,,,,,
5,15666,0.0,,,,,,,
7,15800,0.0,,,,,,,
7,15800,0.0,,,,,,,
1,15890,0.0,,,,,,,
1,15890,0.0,,,,,,,
1,15890,0.0,,,,,,,
1,15890,0.0,,,,,,,
1,15890,0.0,,,,,,,
3,16022,0.0,,,,,,,
3,16022,0.0,,,,,,,
7,16037,1215.7164,,,,,,,
7,16037,0.0,,,,,,,
7,16037,0.0,,,,,,,
3,16055,0.0,,,,,,,
3,16055,0.0,,,,,,,
1,16060,0.0,,,,,,,
1,16060,0.0,,,,,,,
4,16087,0.0,,,,,,,
1,16139,0.0,,,,,,,
1,16139,0.0,,,,,,,
1,16139,0.0,,,,,,,
1,16139,0.0,,,,,,,
1,16139,0.0,,,,,,,
5,16181,0.0,,,,,,,
5,16181,0.0,,,,,,,
7,16183,0.0,,,,,,,
7,16183,0.0,,,,,,,
7,16183,0.0,,,,,,,
6,16245,0.0,,,,,,,
3,16280,0.0,,,,,,,
3,16280,0.0,,,,,,,
3,16280,0.0,,,,,,,
3,16280,0.0,,,,,,,
7,16281,0.0,,,,,,,
7,16281,0.0,,,,,,,
7,16281,0.0,,,,,,,
1,16306,0.0,,,,,,,
1,16306,0.0,,,,,,,
1,16306,0.0,,,,,,,
1,16306,0.0,,,,,,,
1,16405,607.85822,,,,,,,
1,16405,303.92911,,,,,,,
6,16521,0.0,,,,,,,
3,16534,0.0,,,,,,,
3,16534,0.0,,,,,,,
1,16623,0.0,,,,,,,
1,16623,0.0,,,,,,,
1,16623,0.0,,,,,,,
1,16640,202.6194,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
1,16640,0.0,,,,,,,
3,16686,0.0,,,,,,,
3,16686,0.0,,,,,,,
3,16686,0.0,,,,,,,
3,16686,0.0,,,,,,,
3,16686,0.0,,,,,,,
4,16690,0.0,,,,,,,
3,16760,0.0,,,,,,,
3,16760,0.0,,,,,,,
3,16760,0.0,,,,,,,
3,16760,0.0,,,,,,,
3,16760,0.0,,,,,,,
3,16760,0.0,,,,,,,
3,16792,0.0,,,,,,,
3,16792,0.0,,,,,,,
3,16831,0.0,,,,,,,
3,16831,0.0,,,,,,,
3,16831,0.0,,,,,,,
1,16837,0.0,,,,,,,
1,16837,0.0,,,,,,,
1,16837,0.0,,,,,,,
3,16893,0.0,,,,,,,
3,16893,0.0,,,,,,,
1,16947,0.0,,,,,,,
1,16947,0.0,,,,,,,
1,16947,0.0,,,,,,,
1,16947,0.0,,,,,,,
1,16987,0.0,,,,,,,
1,16987,0.0,,,,,,,
3,17121,0.0,,,,,,,
3,17121,0.0,,,,,,,
3,17123,0.0,,,,,,,
3,17123,0.0,,,,,,,
3,17123,0.0,,,,,,,
5,17343,0.0,,,,,,,
5,17343,0.0,,,,,,,
1,17479,0.0,,,,,,,
1,17479,0.0,,,,,,,
1,17479,0.0,,,,,,,
1,17479,0.0,,,,,,,
2,17483,0.0,,,,,,,
2,17483,0.0,,,,,,,
6,17500,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
1,17537,0.0,,,,,,,
3,17588,0.0,,,,,,,
3,17588,0.0,,,,,,,
6,17610,4052.3879,,,,,,,
3,17638,0.0,,,,,,,
3,17638,0.0,,,,,,,
1,17656,0.0,,,,,,,
1,17656,0.0,,,,,,,
1,17656,0.0,,,,,,,
1,17656,0.0,,,,,,,
4,17736,0.0,,,,,,,
3,17780,0.0,,,,,,,
3,17780,0.0,,,,,,,
1,17793,0.0,,,,,,,
1,17793,0.0,,,,,,,
4,17822,50.65485,,,,,,,
4,17833,0.0,,,,,,,
1,17901,0.0,,,,,,,
1,17901,0.0,,,,,,,
1,17901,0.0,,,,,,,
1,17901,0.0,,,,,,,
4,17934,0.0,,,,,,,
4,18002,20261.939,,,,,,,
1,18040,0.0,,,,,,,
1,18040,0.0,,,,,,,
1,18040,0.0,,,,,,,
1,18040,0.0,,,,,,,
1,18040,0.0,,,,,,,
7,18077,0.0,,,,,,,
7,18077,0.0,,,,,,,
1,18100,0.0,,,,,,,
1,18100,0.0,,,,,,,
1,18100,0.0,,,,,,,
1,18100,0.0,,,,,,,
1,18100,0.0,,,,,,,
1,18131,0.0,,,,,,,
1,18131,0.0,,,,,,,
1,18131,0.0,,,,,,,
1,18131,0.0,,,,,,,
2,18153,0.0,,,,,,,
2,18153,0.0,,,,,,,
2,18153,0.0,,,,,,,
2,18153,0.0,,,,,,,
