"Under $25,000",Community Area,"$50,000 to $74,999",median_income,poverty_rate,unemployment_rate,education_level,housing_cost_burden,single_parent_households,racial_diversity_index,average_family_size,access_to_public_transport,health_insurance_coverage,food_insecurity_rate,employment_sector_distribution,median_age
1501,ENGLEWOOD,754,55000.0,18.5,7.2,85.0,32.0,1500.0,0.65,3.0,8.0,90.0,12.0,service,34.0
162,FOREST GLEN,343,,,,,,,,,,,,,
186,FULLER PARK,36,45000.0,25.0,8.0,85.0,35.0,1500.0,0.65,3.0,7.0,90.0,20.0,service,32.0
1007,GAGE PARK,1582,,,,,,,,,,,,,
421,GARFIELD RIDGE,1220,65000.0,12.5,6.2,85.0,30.0,1500.0,0.65,3.0,8.0,92.0,10.0,service,35.0
913,GRAND BOULEVARD,651,,,,,,,,,,,,,
1853,GREATER GRAND CROSSING,1121,45000.0,25.0,8.0,85.0,35.0,1500.0,0.65,3.0,8.0,90.0,15.0,service,32.0
213,HEGEWISCH,462,,,,,,,,,,,,,
549,HERMOSA,974,,,,,,,,,,,,,
2099,HUMBOLDT PARK,2632,55000.0,18.5,7.2,85.0,35.0,1500.0,0.65,3.0,8.0,90.0,12.0,service,32.0
301,HYDE PARK,309,65000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.0,8.0,92.0,12.0,service,34.0
1028,IRVING PARK,1674,65000.0,12.5,6.2,88.0,30.0,1500.0,0.65,3.2,8.0,92.0,10.0,service,34.0
521,JEFFERSON PARK,814,60000.0,15.2,7.1,85.0,30.5,1200.0,0.65,3.2,8.0,92.0,12.3,service,34.0
564,KENWOOD,116,,,,,,,,,,,,,
627,LAKE VIEW,860,,,,,,,,,,,,,
309,LINCOLN PARK,381,65000.0,15.2,6.5,88.3,32.1,1200.0,0.65,3.2,8.0,92.5,12.4,service,34.0
576,LINCOLN SQUARE,1173,65000.0,15.2,6.1,88.5,32.4,1200.0,0.65,3.2,8.0,92.3,10.5,service,34.0
1259,LOGAN SQUARE,1329,65000.0,15.2,6.5,88.3,32.1,1200.0,0.65,3.2,8.0,92.5,12.4,service,34.0
138,LOOP,305,,,,,,,,,,,,,
900,LOWER WEST SIDE,1242,55000.0,18.5,7.2,85.0,32.0,1200.0,0.65,3.2,8.0,90.0,12.0,service,34.0
320,MCKINLEY PARK,699,65000.0,15.2,6.5,85.0,32.0,1200.0,0.65,3.2,8.0,92.0,12.5,service,34.0
312,MONTCLARE,510,65000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.2,8.0,92.0,12.0,service,34.0
759,MORGAN PARK,571,60000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.0,8.0,92.0,12.0,service,34.0
158,MOUNT GREENWOOD,270,60000.0,15.0,6.0,85.0,30.0,1200.0,0.65,3.0,8.0,90.0,12.0,"service, manufacturing, retail",35.0
847,NEAR NORTH SIDE,517,55000.0,18.5,6.2,85.0,32.0,1500.0,0.65,3.0,8.0,92.0,12.0,service,34.0
447,NEAR SOUTH SIDE,235,50000.0,20.0,8.0,85.0,35.0,1500.0,0.65,3.0,7.0,90.0,15.0,service,32.0
1532,NEAR WEST SIDE,814,55000.0,22.0,8.0,85.0,35.0,1500.0,0.65,3.0,7.0,90.0,15.0,service,32.0
2266,NEW CITY,1432,,,,,,,,,,,,,
355,NORTH CENTER,378,65000.0,15.0,6.0,85.0,30.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,35.0
1772,NORTH LAWNDALE,1171,45000.0,25.0,10.0,85.0,40.0,1500.0,0.7,3.0,8.0,75.0,20.0,service,32.0
391,NORTH PARK,583,65000.0,15.2,6.5,85.0,32.0,1200.0,0.65,3.2,8.0,92.0,12.5,,34.0
771,NORWOOD PARK,1140,65000.0,12.5,6.2,88.0,30.0,1500.0,0.65,3.2,7.0,95.0,10.0,service,36.0
361,OAKLAND,144,65000.0,18.5,7.2,85.0,32.0,15000.0,0.65,3.2,8.0,92.0,12.0,service,34.0
321,OHARE,1052,65000.0,15.2,6.5,85.0,30.0,12000.0,0.65,3.2,8.0,92.0,12.5,service,34.0
909,PORTAGE PARK,1926,65000.0,12.5,5.2,88.0,30.0,1500.0,0.65,3.2,7.0,92.0,10.0,service,36.0
287,PULLMAN,346,60000.0,15.0,7.0,85.0,30.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,35.0
965,RIVERDALE,195,55000.0,18.5,7.2,85.0,35.0,1200.0,0.65,3.2,8.0,92.0,12.0,service,32.0
1038,ROGERS PARK,1477,60000.0,18.0,7.0,85.0,35.0,1500.0,0.65,3.0,8.0,90.0,12.0,service,32.0
1535,ROSELAND,1379,55000.0,18.5,7.2,85.0,32.0,1500.0,0.65,3.2,8.0,92.0,12.0,service,34.0
1499,SOUTH CHICAGO,968,45000.0,25.0,8.0,85.0,40.0,1500.0,0.65,3.0,7.0,90.0,15.0,service,32.0
912,SOUTH DEERING,464,55000.0,18.0,7.0,85.0,35.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,34.0
2608,SOUTH LAWNDALE,2307,45000.0,25.0,8.0,85.0,40.0,1500.0,0.7,3.0,8.0,90.0,15.0,service,32.0
2299,SOUTH SHORE,1681,60000.0,15.0,7.0,85.0,30.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,35.0
1379,UPTOWN,971,,,,,,,,,,,,,
918,WASHINGTON HEIGHTS,1179,55000.0,18.5,7.2,85.0,40.0,15000.0,0.65,3.0,8.0,90.0,12.0,service,34.0
1142,WASHINGTON PARK,274,55000.0,18.5,7.2,85.0,32.0,1200.0,0.65,3.2,8.0,90.0,12.0,service,34.0
267,WEST ELSDON,788,55000.0,18.0,7.0,85.0,35.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,32.0
1547,WEST ENGLEWOOD,785,45000.0,25.0,10.0,85.0,40.0,1500.0,0.7,3.0,8.0,75.0,20.0,service,32.0
1048,WEST GARFIELD PARK,655,40000.0,30.0,10.0,85.0,45.0,1500.0,0.75,3.0,8.0,75.0,25.0,service,32.0
766,WEST LAWN,1296,65000.0,15.0,6.0,85.0,30.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,34.0
1380,WEST PULLMAN,850,45000.0,25.0,10.0,85.0,35.0,1500.0,0.65,3.0,7.0,80.0,20.0,service,34.0
2088,WEST RIDGE,3031,60000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.2,8.0,92.0,12.5,service,34.0
1051,WEST TOWN,1197,,,,,,,,,,,,,
1039,WOODLAWN,622,55000.0,18.5,7.2,85.3,32.1,1200.0,0.65,3.2,8.0,92.4,14.0,service,34.0
