CPS Performance Policy Status,School ID,Safety Icon ,average_attendance_rate,parent_engagement_score,teacher_collaboration_index,student_growth_metric,standardized_test_scores,algebra_pass_rate,freshman_on_track_rate,IEP_compliance_rate,college_enrollment_rate,safety_perception_score,environmental_quality_index,teacher_turnover_rate
Not on Probation,609963,Strong,,,,,,,,,,,,
Not on Probation,610141,Average,,,,,,,,,,,,
Not on Probation,610011,Strong,,,,,,,,,,,,
Probation,610106,Weak,,,,,,,,,,,,
Not on Probation,610189,Weak,,,,,,,,,,,,
Probation,610065,Weak,,,,,,,,,,,,
Probation,609991,Average,,,,,,,,,,,,
Probation,610076,Average,,,,,,,,,,,,
Probation,610282,Weak,,,,,,,,,,,,
Not on Probation,609738,Strong,,,,,,,,,,,,
Not on Probation,610125,Average,,,,,,,,,,,,
Not on Probation,610009,Strong,,,,,,,,,,,,
Probation,610369,Weak,,,,,,,,,,,,
Not on Probation,609884,Strong,,,,,,,,,,,,
Not on Probation,609899,Strong,,,,,,,,,,,,
Not on Probation,610096,Weak,,,,,,,,,,,,
Not on Probation,609849,Strong,,,,,,,,,,,,
Probation,609691,Average,,,,,,,,,,,,
Probation,610165,NDA,,,,,,,,,,,,
Probation,610266,Other,,,,,,,,,,,,
Probation,610092,Average,,,,,,,,,,,,
Probation,610176,Weak,,,,,,,,,,,,
Probation,610389,NDA,,,,,,,,,,,,
Not on Probation,610248,Strong,,,,,,,,,,,,
Not on Probation,610055,Weak,,,,,,,,,,,,
Probation,610110,Average,,,,,,,,,,,,
Probation,610053,Other,,,,,,,,,,,,
Probation,609702,Average,,,,,,,,,,,,
Probation,609986,Other,,,,,,,,,,,,
Probation,610342,Strong,,,,,,,,,,,,
Not on Probation,609803,Very Strong,,,,,,,,,,,,
Probation,610253,Strong,,,,,,,,,,,,
Probation,610321,Weak,,,,,,,,,,,,
Not on Probation,609820,Very Strong,,,,,,,,,,,,
Not on Probation,609867,NDA,,,,,,,,,,,,
Other,610083,NDA,,,,,,,,,,,,
Not on Probation,610159,Average,,,,,,,,,,,,
Not on Probation,609866,Very Strong,,,,,,,,,,,,
Not on Probation,610182,Strong,,,,,,,,,,,,
Not on Probation,610157,Average,,,,,,,,,,,,
Not on Probation,610082,Very Strong,,,,,,,,,,,,
Not on Probation,610249,Very Strong,,,,,,,,,,,,
Probation,610237,Average,,,,,,,,,,,,
Not on Probation,610312,NDA,,,,,,,,,,,,
Not on Probation,610104,Strong,,,,,,,,,,,,
Not on Probation,610109,Average,,,,,,,,,,,,
Not on Probation,610221,Average,,,,,,,,,,,,
Not on Probation,609746,Strong,,,,,,,,,,,,
Probation,609682,Weak,,,,,,,,,,,,
Not on Probation,609974,Very Strong,,,,,,,,,,,,
Not on Probation,610499,Strong,,,,,,,,,,,,
Not on Probation,609990,Very Strong,,,,,,,,,,,,
Probation,610264,Weak,,,,,,,,,,,,
Not on Probation,609679,Average,,,,,,,,,,,,
Not on Probation,609797,Strong,,,,,,,,,,,,
Probation,609891,Weak,,,,,,,,,,,,
Not on Probation,609693,Strong,,,,,,,,,,,,
Not on Probation,610515,NDA,,,,,,,,,,,,
Probation,610034,NDA,,,,,,,,,,,,
Probation,609759,Average,,,,,,,,,,,,
Probation,609855,NDA,,,,,,,,,,,,
Probation,609735,Weak,,,,,,,,,,,,
Not on Probation,610284,NDA,,,,,,,,,,,,
Probation,610263,Average,,,,,,,,,,,,
Not on Probation,609906,Weak,,,,,,,,,,,,
Not on Probation,609798,Strong,,,,,,,,,,,,
Probation,610348,Average,,,,,,,,,,,,
Not on Probation,610227,Average,,,,,,,,,,,,
Not on Probation,610088,Average,,,,,,,,,,,,
Probation,609864,NDA,,,,,,,,,,,,
Probation,610052,Weak,,,,,,,,,,,,
Not on Probation,609993,Average,,,,,,,,,,,,
Probation,609894,Average,,,,,,,,,,,,
Not on Probation,610002,Strong,,,,,,,,,,,,
Probation,609981,Weak,,,,,,,,,,,,
Probation,609791,Weak,,,,,,,,,,,,
Other,609766,Average,,,,,,,,,,,,
Probation,609897,Weak,,,,,,,,,,,,
Probation,609800,Average,,,,,,,,,,,,
Not on Probation,609836,Very Strong,,,,,,,,,,,,
Not on Probation,609943,Weak,,,,,,,,,,,,
Not on Probation,609976,Strong,,,,,,,,,,,,
Not on Probation,609988,Average,,,,,,,,,,,,
Probation,610215,Average,,,,,,,,,,,,
Not on Probation,609755,Very Strong,,,,,,,,,,,,
Probation,610153,Weak,,,,,,,,,,,,
Not on Probation,609935,Average,,,,,,,,,,,,
Not on Probation,610217,Average,,,,,,,,,,,,
Not on Probation,610068,Weak,,,,,,,,,,,,
Not on Probation,610357,Strong,,,,,,,,,,,,
Not on Probation,609751,NDA,,,,,,,,,,,,
Not on Probation,610363,NDA,,,,,,,,,,,,
Probation,610156,Average,,,,,,,,,,,,
Not on Probation,610246,Average,,,,,,,,,,,,
Not on Probation,610544,Average,,,,,,,,,,,,
Not on Probation,609678,Very Strong,,,,,,,,,,,,
Probation,610045,Other,,,,,,,,,,,,
Probation,609845,Weak,,,,,,,,,,,,
Probation,609916,Weak,,,,,,,,,,,,
Not on Probation,610290,Weak,,,,,,,,,,,,
Not on Probation,610032,Weak,,,,,,,,,,,,
Not on Probation,610097,Average,,,,,,,,,,,,
Not on Probation,609839,Weak,,,,,,,,,,,,
Probation,609775,Average,,,,,,,,,,,,
Probation,610334,Average,,,,,,,,,,,,
Probation,609975,Average,,,,,,,,,,,,
Not on Probation,609918,Average,,,,,,,,,,,,
Not on Probation,610201,Strong,,,,,,,,,,,,
Probation,609873,Weak,,,,,,,,,,,,
Not on Probation,610520,Strong,,,,,,,,,,,,
Probation,609762,Weak,,,,,,,,,,,,
Probation,610173,Weak,,,,,,,,,,,,
Probation,610015,Weak,,,,,,,,,,,,
Probation,610150,Weak,,,,,,,,,,,,
Probation,610005,Average,,,,,,,,,,,,
Probation,610202,Other,,,,,,,,,,,,
Other,610163,NDA,,,,,,,,,,,,
Probation,610072,Weak,,,,,,,,,,,,
Not on Probation,610024,NDA,,,,,,,,,,,,
Not on Probation,610135,Strong,,,,,,,,,,,,
Not on Probation,610098,Weak,,,,,,,,,,,,
Not on Probation,609888,Average,,,,,,,,,,,,
Probation,609987,Weak,,,,,,,,,,,,
Not on Probation,610029,Average,,,,,,,,,,,,
Probation,610012,Average,,,,,,,,,,,,
Not on Probation,610325,Average,,,,,,,,,,,,
Not on Probation,610250,Strong,,,,,,,,,,,,
Not on Probation,610081,Strong,,,,,,,,,,,,
Probation,610023,Average,,,,,,,,,,,,
Probation,610161,Weak,,,,,,,,,,,,
Probation,609807,Average,,,,,,,,,,,,
Not on Probation,610541,Average,,,,,,,,,,,,
Not on Probation,609947,Average,,,,,,,,,,,,
Not on Probation,609996,Average,,,,,,,,,,,,
Probation,610245,Average,,,,,,,,,,,,
Other,610075,Weak,,,,,,,,,,,,
Not on Probation,610218,Weak,,,,,,,,,,,,
Other,609769,Very Strong,,,,,,,,,,,,
Not on Probation,609973,Strong,,,,,,,,,,,,
Probation,609921,Average,,,,,,,,,,,,
Not on Probation,609786,Weak,,,,,,,,,,,,
Probation,610107,Very Strong,,,,,,,,,,,,
Not on Probation,610091,Weak,,,,,,,,,,,,
Probation,610273,Weak,,,,,,,,,,,,
Probation,610102,Average,,,,,,,,,,,,
Not on Probation,610380,Average,,,,,,,,,,,,
Probation,610152,Average,,,,,,,,,,,,
Not on Probation,609949,Average,,,,,,,,,,,,
Probation,610364,Average,,,,,,,,,,,,
Probation,609705,Weak,,,,,,,,,,,,
Probation,610160,Other,,,,,,,,,,,,
Probation,610383,Average,,,,,,,,,,,,
Probation,609740,Average,,,,,,,,,,,,
Not on Probation,610396,Average,,,,,,,,,,,,
Probation,610040,NDA,,,,,,,,,,,,
Probation,609704,Average,,,,,,,,,,,,
Not on Probation,610127,Strong,,,,,,,,,,,,
Not on Probation,610095,Strong,,,,,,,,,,,,
Probation,610000,Strong,,,,,,,,,,,,
Probation,400018,Weak,,,,,,,,,,,,
Not on Probation,609865,Strong,,,,,,,,,,,,
Probation,609869,Weak,,,,,,,,,,,,
Probation,610093,Average,,,,,,,,,,,,
Probation,610258,Weak,,,,,,,,,,,,
Not on Probation,610197,Strong,,,,,,,,,,,,
Probation,609806,Weak,,,,,,,,,,,,
Not on Probation,610196,Strong,,,,,,,,,,,,
Not on Probation,610317,Average,,,,,,,,,,,,
Not on Probation,610188,Average,,,,,,,,,,,,
Not on Probation,609792,Average,,,,,,,,,,,,
Probation,610144,Average,,,,,,,,,,,,
Not on Probation,610235,Weak,,,,,,,,,,,,
Not on Probation,610329,Average,,,,,,,,,,,,
Probation,610320,Average,,,,,,,,,,,,
Not on Probation,610524,Strong,,,,,,,,,,,,
Not on Probation,609875,Average,,,,,,,,,,,,
Probation,609710,NDA,,,,,,,,,,,,
Not on Probation,609901,Very Strong,,,,,,,,,,,,
Probation,609827,Average,,,,,,,,,,,,
Probation,609832,Strong,,,,,,,,,,,,
Not on Probation,610532,Weak,,,,,,,,,,,,
Not on Probation,609983,Weak,,,,,,,,,,,,
Not on Probation,610145,Strong,,,,,,,,,,,,
Not on Probation,609895,Average,,,,,,,,,,,,
Not on Probation,609726,Strong,,,,,,,,,,,,
Probation,610283,Weak,,,,,,,,,,,,
Not on Probation,609893,Strong,,,,,,,,,,,,
Probation,610018,Average,,,,,,,,,,,,
Probation,610108,Other,,,,,,,,,,,,
Not on Probation,610167,Average,,,,,,,,,,,,
Not on Probation,610101,NDA,,,,,,,,,,,,
Not on Probation,610340,Average,,,,,,,,,,,,
Not on Probation,609985,Weak,,,,,,,,,,,,
Not on Probation,610126,NDA,,,,,,,,,,,,
Not on Probation,609874,Average,,,,,,,,,,,,
Not on Probation,609937,Strong,,,,,,,,,,,,
Not on Probation,609903,Average,,,,,,,,,,,,
Not on Probation,610019,Strong,,,,,,,,,,,,
Not on Probation,610395,Average,,,,,,,,,,,,
Other,609744,Very Strong,,,,,,,,,,,,
Probation,610268,NDA,,,,,,,,,,,,
Probation,609939,Weak,,,,,,,,,,,,
Not on Probation,609932,NDA,,,,,,,,,,,,
Not on Probation,610203,NDA,,,,,,,,,,,,
Not on Probation,609951,NDA,,,,,,,,,,,,
Probation,610175,Average,,,,,,,,,,,,
Not on Probation,609810,Strong,,,,,,,,,,,,
Probation,610048,Average,,,,,,,,,,,,
Probation,610293,Strong,,,,,,,,,,,,
Not on Probation,610131,Average,,,,,,,,,,,,
Not on Probation,610059,Strong,,,,,,,,,,,,
Not on Probation,609959,Weak,,,,,,,,,,,,
Probation,610240,Weak,,,,,,,,,,,,
Not on Probation,609977,Strong,,,,,,,,,,,,
Probation,610313,Average,,,,,,,,,,,,
Not on Probation,610124,Weak,,,,,,,,,,,,
Not on Probation,610033,Very Strong,,,,,,,,,,,,
Not on Probation,609859,Average,,,,,,,,,,,,
Probation,610256,NDA,,,,,,,,,,,,
Not on Probation,609912,Average,,,,,,,,,,,,
Not on Probation,610513,Average,,,,,,,,,,,,
Not on Probation,610111,Strong,,,,,,,,,,,,
Not on Probation,609909,NDA,,,,,,,,,,,,
Not on Probation,610195,Very Strong,,,,,,,,,,,,
Not on Probation,609774,NDA,,,,,,,,,,,,
Not on Probation,610295,NDA,,,,,,,,,,,,
Not on Probation,610089,Very Strong,,,,,,,,,,,,
Not on Probation,610502,Average,,,,,,,,,,,,
Probation,610194,Average,,,,,,,,,,,,
Not on Probation,610219,Average,,,,,,,,,,,,
Not on Probation,610090,Strong,,,,,,,,,,,,
Not on Probation,610155,Very Strong,,,,,,,,,,,,
Probation,610323,Other,,,,,,,,,,,,
Not on Probation,610230,Very Strong,,,,,,,,,,,,
Probation,609781,Average,,,,,,,,,,,,
Not on Probation,609964,Weak,,,,,,,,,,,,
Probation,610300,Weak,,,,,,,,,,,,
Not on Probation,609876,Average,,,,,,,,,,,,
Probation,609733,Weak,,,,,,,,,,,,
Probation,609907,Weak,,,,,,,,,,,,
Probation,610003,Average,,,,,,,,,,,,
Probation,610100,Weak,,,,,,,,,,,,
Not on Probation,609956,Strong,,,,,,,,,,,,
Probation,610315,Weak,,,,,,,,,,,,
Probation,610265,Weak,,,,,,,,,,,,
Probation,610028,Other,,,,,,,,,,,,
Probation,610067,Weak,,,,,,,,,,,,
Probation,609920,Average,,,,,,,,,,,,
Not on Probation,609879,Average,,,,,,,,,,,,
Probation,610238,Average,,,,,,,,,,,,
Not on Probation,610010,Strong,,,,,,,,,,,,
Probation,609718,Average,,,,,,,,,,,,
Not on Probation,610138,Strong,,,,,,,,,,,,
Not on Probation,609794,Very Strong,,,,,,,,,,,,
Not on Probation,610046,Average,,,,,,,,,,,,
Probation,610347,Weak,,,,,,,,,,,,
Not on Probation,610533,NDA,,,,,,,,,,,,
Probation,610213,NDA,,,,,,,,,,,,
Probation,610058,Average,,,,,,,,,,,,
Probation,609716,Weak,,,,,,,,,,,,
Not on Probation,610183,Weak,,,,,,,,,,,,
Not on Probation,609834,Average,,,,,,,,,,,,
Probation,609815,Weak,,,,,,,,,,,,
Not on Probation,610027,Average,,,,,,,,,,,,
Not on Probation,610128,Average,,,,,,,,,,,,
Not on Probation,609753,Very Strong,,,,,,,,,,,,
Not on Probation,610041,Average,,,,,,,,,,,,
Probation,609812,Weak,,,,,,,,,,,,
Not on Probation,610122,Average,,,,,,,,,,,,
Probation,610336,Average,,,,,,,,,,,,
Not on Probation,609724,Average,,,,,,,,,,,,
Probation,610297,NDA,,,,,,,,,,,,
Probation,610506,Average,,,,,,,,,,,,
Not on Probation,610350,Strong,,,,,,,,,,,,
