EducAttain,SERIALNO,EST_Childcare,EST_Income,EST_HousingCost,EST_TransportCost,EST_HealthCareCost,EST_FoodCost,EST_WorkHoursPerWeek,EST_ParentEducationLevel,EST_SchoolQualityIndex,EST_PublicAssistanceRecipients,EST_HomeOwnershipStatus,EST_CommunitySafetyIndex,EST_PublicTransportAccess,EST_NonWorkDaysPerYear,EST_SchoolAttendanceRate
2.0,1982,0.0,,,,,,,,,,,,,,
1.0,1982,0.0,,,,,,,,,,,,,,
2.0,2028,0.0,,,,,,,,,,,,,,
2.0,2028,0.0,,,,,,,,,,,,,,
1.0,2028,0.0,,,,,,,,,,,,,,
2.0,2028,0.0,,,,,,,,,,,,,,
3.0,2102,0.0,,,,,,,,,,,,,,
2.0,2102,0.0,,,,,,,,,,,,,,
3.0,2131,0.0,,,,,,,,,,,,,,
1.0,2131,0.0,,,,,,,,,,,,,,
3.0,2158,0.0,,,,,,,,,,,,,,
4.0,2237,0.0,,,,,,,,,,,,,,
4.0,2338,Other,,,,,,,,,,,,,,
4.0,2338,Other,,,,,,,,,,,,,,
,2338,Other,,,,,,,,,,,,,,
4.0,2381,0.0,,,,,,,,,,,,,,
4.0,2387,0.0,,,,,,,,,,,,,,
1.0,2476,0.0,,,,,,,,,,,,,,
1.0,2476,0.0,,,,,,,,,,,,,,
2.0,2476,0.0,,,,,,,,,,,,,,
4.0,2623,0.0,,,,,,,,,,,,,,
1.0,2623,0.0,,,,,,,,,,,,,,
1.0,2623,0.0,,,,,,,,,,,,,,
2.0,2658,0.0,,,,,,,,,,,,,,
2.0,2658,0.0,,,,,,,,,,,,,,
4.0,2660,0.0,,,,,,,,,,,,,,
4.0,2660,0.0,,,,,,,,,,,,,,
4.0,2660,0.0,,,,,,,,,,,,,,
4.0,2660,0.0,,,,,,,,,,,,,,
2.0,2715,0.0,,,,,,,,,,,,,,
4.0,2796,0.0,,,,,,,,,,,,,,
4.0,2796,0.0,,,,,,,,,,,,,,
2.0,2860,0.0,,,,,,,,,,,,,,
3.0,2860,0.0,,,,,,,,,,,,,,
4.0,2876,0.0,,,,,,,,,,,,,,
3.0,2876,0.0,,,,,,,,,,,,,,
2.0,2876,0.0,,,,,,,,,,,,,,
2.0,2876,0.0,,,,,,,,,,,,,,
4.0,2880,0.0,,,,,,,,,,,,,,
2.0,2911,0.0,,,,,,,,,,,,,,
2.0,2911,0.0,,,,,,,,,,,,,,
3.0,3030,0.0,,,,,,,,,,,,,,
2.0,3030,0.0,,,,,,,,,,,,,,
1.0,3030,0.0,,,,,,,,,,,,,,
1.0,3030,0.0,,,,,,,,,,,,,,
4.0,3117,0.0,,,,,,,,,,,,,,
4.0,3194,0.0,,,,,,,,,,,,,,
2.0,3194,0.0,,,,,,,,,,,,,,
4.0,3194,0.0,,,,,,,,,,,,,,
3.0,3194,0.0,,,,,,,,,,,,,,
1.0,3194,0.0,,,,,,,,,,,,,,
1.0,3194,0.0,,,,,,,,,,,,,,
1.0,3194,0.0,,,,,,,,,,,,,,
3.0,3273,0.0,,,,,,,,,,,,,,
1.0,3273,0.0,,,,,,,,,,,,,,
1.0,3273,0.0,,,,,,,,,,,,,,
1.0,3273,0.0,,,,,,,,,,,,,,
1.0,3335,0.0,,,,,,,,,,,,,,
1.0,3335,0.0,,,,,,,,,,,,,,
1.0,3335,0.0,,,,,,,,,,,,,,
1.0,3335,0.0,,,,,,,,,,,,,,
4.0,3346,0.0,,,,,,,,,,,,,,
3.0,3346,0.0,,,,,,,,,,,,,,
2.0,3359,0.0,,,,,,,,,,,,,,
2.0,3359,0.0,,,,,,,,,,,,,,
2.0,3359,0.0,,,,,,,,,,,,,,
4.0,3359,0.0,,,,,,,,,,,,,,
4.0,3359,0.0,,,,,,,,,,,,,,
4.0,3359,0.0,,,,,,,,,,,,,,
3.0,3445,0.0,,,,,,,,,,,,,,
2.0,3481,0.0,,,,,,,,,,,,,,
4.0,3622,0.0,,,,,,,,,,,,,,
1.0,3622,0.0,,,,,,,,,,,,,,
1.0,3622,0.0,,,,,,,,,,,,,,
4.0,3765,0.0,,,,,,,,,,,,,,
4.0,3765,0.0,,,,,,,,,,,,,,
1.0,3765,0.0,,,,,,,,,,,,,,
1.0,3765,0.0,,,,,,,,,,,,,,
1.0,3776,0.0,,,,,,,,,,,,,,
2.0,3776,0.0,,,,,,,,,,,,,,
4.0,3803,0.0,,,,,,,,,,,,,,
4.0,3803,0.0,,,,,,,,,,,,,,
4.0,3803,0.0,,,,,,,,,,,,,,
1.0,3865,0.0,,,,,,,,,,,,,,
3.0,3865,0.0,,,,,,,,,,,,,,
2.0,3865,0.0,,,,,,,,,,,,,,
1.0,3865,0.0,,,,,,,,,,,,,,
1.0,3865,0.0,,,,,,,,,,,,,,
1.0,3865,0.0,,,,,,,,,,,,,,
1.0,3865,0.0,,,,,,,,,,,,,,
2.0,3872,0.0,,,,,,,,,,,,,,
4.0,3876,0.0,,,,,,,,,,,,,,
4.0,3876,0.0,,,,,,,,,,,,,,
1.0,3876,0.0,,,,,,,,,,,,,,
1.0,3876,0.0,,,,,,,,,,,,,,
4.0,3959,0.0,,,,,,,,,,,,,,
2.0,3959,0.0,,,,,,,,,,,,,,
1.0,3959,0.0,,,,,,,,,,,,,,
1.0,3959,0.0,,,,,,,,,,,,,,
1.0,3959,0.0,,,,,,,,,,,,,,
1.0,3959,0.0,,,,,,,,,,,,,,
4.0,4062,0.0,,,,,,,,,,,,,,
4.0,4062,0.0,,,,,,,,,,,,,,
1.0,4082,0.0,,,,,,,,,,,,,,
1.0,4082,0.0,,,,,,,,,,,,,,
1.0,4082,0.0,,,,,,,,,,,,,,
1.0,4082,0.0,,,,,,,,,,,,,,
2.0,4138,0.0,,,,,,,,,,,,,,
2.0,4138,0.0,,,,,,,,,,,,,,
4.0,4315,0.0,,,,,,,,,,,,,,
3.0,4347,0.0,,,,,,,,,,,,,,
3.0,4347,0.0,,,,,,,,,,,,,,
,4347,0.0,,,,,,,,,,,,,,
4.0,4410,0.0,,,,,,,,,,,,,,
4.0,4410,0.0,,,,,,,,,,,,,,
,17588,0.0,,,,,,,,,,,,,,
4.0,4410,0.0,,,,,,,,,,,,,,
4.0,4485,0.0,,,,,,,,,,,,,,
2.0,4498,0.0,,,,,,,,,,,,,,
1.0,4498,0.0,,,,,,,,,,,,,,
1.0,4542,0.0,,,,,,,,,,,,,,
2.0,4572,0.0,,,,,,,,,,,,,,
2.0,4572,0.0,,,,,,,,,,,,,,
4.0,4572,0.0,,,,,,,,,,,,,,
2.0,4621,0.0,,,,,,,,,,,,,,
1.0,4621,0.0,,,,,,,,,,,,,,
3.0,4621,0.0,,,,,,,,,,,,,,
4.0,4769,0.0,,,,,,,,,,,,,,
2.0,4920,0.0,,,,,,,,,,,,,,
2.0,4946,0.0,,,,,,,,,,,,,,
3.0,4946,0.0,,,,,,,,,,,,,,
1.0,4946,0.0,,,,,,,,,,,,,,
1.0,4946,0.0,,,,,,,,,,,,,,
1.0,4946,0.0,,,,,,,,,,,,,,
1.0,4946,0.0,,,,,,,,,,,,,,
4.0,4947,0.0,,,,,,,,,,,,,,
3.0,4947,0.0,,,,,,,,,,,,,,
3.0,4947,0.0,,,,,,,,,,,,,,
1.0,4947,0.0,,,,,,,,,,,,,,
,4947,0.0,,,,,,,,,,,,,,
2.0,4947,0.0,,,,,,,,,,,,,,
3.0,4962,0.0,,,,,,,,,,,,,,
,4962,0.0,,,,,,,,,,,,,,
1.0,4962,0.0,,,,,,,,,,,,,,
4.0,5019,0.0,,,,,,,,,,,,,,
4.0,5019,0.0,,,,,,,,,,,,,,
1.0,5019,0.0,,,,,,,,,,,,,,
2.0,5220,0.0,,,,,,,,,,,,,,
4.0,5271,0.0,,,,,,,,,,,,,,
4.0,5380,0.0,,,,,,,,,,,,,,
4.0,5430,0.0,,,,,,,,,,,,,,
4.0,5442,0.0,,,,,,,,,,,,,,
2.0,5442,0.0,,,,,,,,,,,,,,
4.0,5442,0.0,,,,,,,,,,,,,,
4.0,5442,0.0,,,,,,,,,,,,,,
4.0,5442,0.0,,,,,,,,,,,,,,
3.0,5637,0.0,,,,,,,,,,,,,,
3.0,5637,0.0,,,,,,,,,,,,,,
4.0,5666,0.0,,,,,,,,,,,,,,
4.0,5666,0.0,,,,,,,,,,,,,,
1.0,5666,0.0,,,,,,,,,,,,,,
1.0,5666,0.0,,,,,,,,,,,,,,
3.0,5676,0.0,,,,,,,,,,,,,,
3.0,5676,0.0,,,,,,,,,,,,,,
3.0,5676,0.0,,,,,,,,,,,,,,
4.0,5750,0.0,,,,,,,,,,,,,,
3.0,5750,0.0,,,,,,,,,,,,,,
3.0,5774,0.0,,,,,,,,,,,,,,
1.0,5774,0.0,,,,,,,,,,,,,,
1.0,5774,0.0,,,,,,,,,,,,,,
4.0,5779,0.0,,,,,,,,,,,,,,
1.0,5881,0.0,,,,,,,,,,,,,,
1.0,5881,0.0,,,,,,,,,,,,,,
1.0,5881,0.0,,,,,,,,,,,,,,
1.0,5881,0.0,,,,,,,,,,,,,,
4.0,6009,0.0,,,,,,,,,,,,,,
1.0,6009,0.0,,,,,,,,,,,,,,
1.0,6009,0.0,,,,,,,,,,,,,,
2.0,6009,0.0,,,,,,,,,,,,,,
4.0,6070,0.0,,,,,,,,,,,,,,
4.0,6078,0.0,,,,,,,,,,,,,,
3.0,6159,0.0,,,,,,,,,,,,,,
1.0,6159,0.0,,,,,,,,,,,,,,
2.0,6159,0.0,,,,,,,,,,,,,,
1.0,6159,0.0,,,,,,,,,,,,,,
3.0,6178,0.0,,,,,,,,,,,,,,
1.0,6199,0.0,,,,,,,,,,,,,,
4.0,6309,0.0,,,,,,,,,,,,,,
1.0,6335,0.0,,,,,,,,,,,,,,
4.0,6430,0.0,,,,,,,,,,,,,,
2.0,6445,0.0,,,,,,,,,,,,,,
2.0,6445,0.0,,,,,,,,,,,,,,
2.0,6445,0.0,,,,,,,,,,,,,,
2.0,6445,0.0,,,,,,,,,,,,,,
2.0,6445,0.0,,,,,,,,,,,,,,
4.0,6464,0.0,,,,,,,,,,,,,,
4.0,6464,0.0,,,,,,,,,,,,,,
3.0,6549,0.0,,,,,,,,,,,,,,
2.0,6587,0.0,,,,,,,,,,,,,,
4.0,6684,0.0,,,,,,,,,,,,,,
1.0,6684,0.0,,,,,,,,,,,,,,
4.0,6684,0.0,,,,,,,,,,,,,,
1.0,6684,0.0,,,,,,,,,,,,,,
2.0,6798,0.0,,,,,,,,,,,,,,
3.0,6798,0.0,,,,,,,,,,,,,,
1.0,6842,0.0,,,,,,,,,,,,,,
1.0,6842,0.0,,,,,,,,,,,,,,
1.0,6842,0.0,,,,,,,,,,,,,,
3.0,6842,0.0,,,,,,,,,,,,,,
4.0,6882,0.0,,,,,,,,,,,,,,
4.0,6882,0.0,,,,,,,,,,,,,,
3.0,6954,0.0,,,,,,,,,,,,,,
4.0,6972,0.0,,,,,,,,,,,,,,
2.0,7139,0.0,,,,,,,,,,,,,,
2.0,7218,0.0,,,,,,,,,,,,,,
3.0,7218,0.0,,,,,,,,,,,,,,
1.0,7218,0.0,,,,,,,,,,,,,,
4.0,7268,Other,,,,,,,,,,,,,,
4.0,7268,Other,,,,,,,,,,,,,,
1.0,7268,Other,,,,,,,,,,,,,,
1.0,7268,Other,,,,,,,,,,,,,,
1.0,7268,Other,,,,,,,,,,,,,,
,7268,Other,,,,,,,,,,,,,,
1.0,7296,0.0,,,,,,,,,,,,,,
4.0,7309,0.0,,,,,,,,,,,,,,
3.0,7309,0.0,,,,,,,,,,,,,,
4.0,7351,0.0,,,,,,,,,,,,,,
4.0,7351,0.0,,,,,,,,,,,,,,
4.0,7356,0.0,,,,,,,,,,,,,,
4.0,7356,0.0,,,,,,,,,,,,,,
4.0,7417,0.0,,,,,,,,,,,,,,
1.0,7417,0.0,,,,,,,,,,,,,,
3.0,7417,0.0,,,,,,,,,,,,,,
1.0,7417,0.0,,,,,,,,,,,,,,
4.0,7462,0.0,,,,,,,,,,,,,,
1.0,7503,0.0,,,,,,,,,,,,,,
1.0,7555,0.0,,,,,,,,,,,,,,
2.0,7690,0.0,,,,,,,,,,,,,,
2.0,7690,0.0,,,,,,,,,,,,,,
3.0,7698,0.0,,,,,,,,,,,,,,
1.0,7704,0.0,,,,,,,,,,,,,,
2.0,7718,0.0,,,,,,,,,,,,,,
4.0,7736,0.0,,,,,,,,,,,,,,
1.0,7736,0.0,,,,,,,,,,,,,,
1.0,7736,0.0,,,,,,,,,,,,,,
3.0,7736,0.0,,,,,,,,,,,,,,
3.0,7879,0.0,,,,,,,,,,,,,,
3.0,7879,0.0,,,,,,,,,,,,,,
1.0,7879,0.0,,,,,,,,,,,,,,
4.0,7964,0.0,,,,,,,,,,,,,,
4.0,8007,0.0,,,,,,,,,,,,,,
1.0,8007,0.0,,,,,,,,,,,,,,
4.0,8007,0.0,,,,,,,,,,,,,,
4.0,8007,0.0,,,,,,,,,,,,,,
1.0,8108,0.0,,,,,,,,,,,,,,
1.0,8108,0.0,,,,,,,,,,,,,,
1.0,8108,0.0,,,,,,,,,,,,,,
1.0,8144,0.0,,,,,,,,,,,,,,
1.0,8144,0.0,,,,,,,,,,,,,,
3.0,8150,0.0,,,,,,,,,,,,,,
4.0,8168,0.0,,,,,,,,,,,,,,
1.0,8168,0.0,,,,,,,,,,,,,,
1.0,8172,0.0,,,,,,,,,,,,,,
2.0,8172,0.0,,,,,,,,,,,,,,
1.0,8211,0.0,,,,,,,,,,,,,,
1.0,8211,0.0,,,,,,,,,,,,,,
1.0,8211,0.0,,,,,,,,,,,,,,
2.0,8211,0.0,,,,,,,,,,,,,,
4.0,8244,0.0,,,,,,,,,,,,,,
4.0,8244,0.0,,,,,,,,,,,,,,
1.0,8446,0.0,,,,,,,,,,,,,,
4.0,8517,Other,,,,,,,,,,,,,,
3.0,8517,Other,,,,,,,,,,,,,,
1.0,8517,Other,,,,,,,,,,,,,,
1.0,8517,Other,,,,,,,,,,,,,,
1.0,8517,Other,,,,,,,,,,,,,,
3.0,8530,0.0,,,,,,,,,,,,,,
4.0,8530,0.0,,,,,,,,,,,,,,
1.0,8530,0.0,,,,,,,,,,,,,,
,8530,0.0,,,,,,,,,,,,,,
2.0,8541,0.0,,,,,,,,,,,,,,
4.0,8601,0.0,,,,,,,,,,,,,,
4.0,8601,0.0,,,,,,,,,,,,,,
3.0,8786,0.0,,,,,,,,,,,,,,
1.0,8786,0.0,,,,,,,,,,,,,,
1.0,8786,0.0,,,,,,,,,,,,,,
1.0,8786,0.0,,,,,,,,,,,,,,
3.0,8877,0.0,,,,,,,,,,,,,,
1.0,8889,0.0,,,,,,,,,,,,,,
2.0,8889,0.0,,,,,,,,,,,,,,
4.0,8945,0.0,,,,,,,,,,,,,,
4.0,8945,0.0,,,,,,,,,,,,,,
2.0,8945,0.0,,,,,,,,,,,,,,
4.0,9063,0.0,,,,,,,,,,,,,,
4.0,9063,0.0,,,,,,,,,,,,,,
1.0,9086,Other,,,,,,,,,,,,,,
2.0,9086,Other,,,,,,,,,,,,,,
1.0,9086,Other,,,,,,,,,,,,,,
1.0,9086,Other,,,,,,,,,,,,,,
,9086,Other,,,,,,,,,,,,,,
1.0,9086,Other,,,,,,,,,,,,,,
4.0,9098,0.0,,,,,,,,,,,,,,
3.0,9098,0.0,,,,,,,,,,,,,,
3.0,9105,0.0,,,,,,,,,,,,,,
2.0,9105,0.0,,,,,,,,,,,,,,
1.0,9105,0.0,,,,,,,,,,,,,,
,9105,0.0,,,,,,,,,,,,,,
4.0,9105,0.0,,,,,,,,,,,,,,
2.0,9207,0.0,,,,,,,,,,,,,,
2.0,9207,0.0,,,,,,,,,,,,,,
4.0,9248,0.0,,,,,,,,,,,,,,
2.0,9268,0.0,,,,,,,,,,,,,,
4.0,9278,0.0,,,,,,,,,,,,,,
3.0,9405,0.0,,,,,,,,,,,,,,
2.0,9405,0.0,,,,,,,,,,,,,,
4.0,9405,0.0,,,,,,,,,,,,,,
1.0,9485,0.0,,,,,,,,,,,,,,
2.0,9583,0.0,,,,,,,,,,,,,,
2.0,9583,0.0,,,,,,,,,,,,,,
2.0,9602,0.0,,,,,,,,,,,,,,
2.0,9650,0.0,,,,,,,,,,,,,,
1.0,9650,0.0,,,,,,,,,,,,,,
3.0,9731,0.0,,,,,,,,,,,,,,
2.0,9731,0.0,,,,,,,,,,,,,,
2.0,9737,0.0,,,,,,,,,,,,,,
2.0,9737,0.0,,,,,,,,,,,,,,
4.0,9909,0.0,,,,,,,,,,,,,,
4.0,9909,0.0,,,,,,,,,,,,,,
4.0,9918,Other,,,,,,,,,,,,,,
4.0,9918,Other,,,,,,,,,,,,,,
1.0,9918,Other,,,,,,,,,,,,,,
1.0,9918,Other,,,,,,,,,,,,,,
1.0,9918,Other,,,,,,,,,,,,,,
1.0,10009,0.0,,,,,,,,,,,,,,
1.0,10009,0.0,,,,,,,,,,,,,,
4.0,10009,0.0,,,,,,,,,,,,,,
4.0,10009,0.0,,,,,,,,,,,,,,
1.0,10009,0.0,,,,,,,,,,,,,,
3.0,10073,Other,,,,,,,,,,,,,,
1.0,10073,Other,,,,,,,,,,,,,,
1.0,10073,Other,,,,,,,,,,,,,,
3.0,10132,0.0,,,,,,,,,,,,,,
2.0,10132,0.0,,,,,,,,,,,,,,
1.0,10132,0.0,,,,,,,,,,,,,,
1.0,10132,0.0,,,,,,,,,,,,,,
1.0,10132,0.0,,,,,,,,,,,,,,
4.0,10152,0.0,,,,,,,,,,,,,,
4.0,10162,0.0,,,,,,,,,,,,,,
2.0,10212,Other,,,,,,,,,,,,,,
4.0,10212,Other,,,,,,,,,,,,,,
4.0,10212,Other,,,,,,,,,,,,,,
3.0,10212,Other,,,,,,,,,,,,,,
1.0,10212,Other,,,,,,,,,,,,,,
3.0,10212,Other,,,,,,,,,,,,,,
1.0,10228,0.0,,,,,,,,,,,,,,
4.0,10228,0.0,,,,,,,,,,,,,,
4.0,10259,0.0,,,,,,,,,,,,,,
4.0,10259,0.0,,,,,,,,,,,,,,
3.0,10352,0.0,,,,,,,,,,,,,,
4.0,10448,Other,,,,,,,,,,,,,,
4.0,10448,Other,,,,,,,,,,,,,,
1.0,10448,Other,,,,,,,,,,,,,,
1.0,10448,Other,,,,,,,,,,,,,,
3.0,10467,0.0,,,,,,,,,,,,,,
4.0,10467,0.0,,,,,,,,,,,,,,
4.0,10467,0.0,,,,,,,,,,,,,,
2.0,10584,0.0,,,,,,,,,,,,,,
2.0,10584,0.0,,,,,,,,,,,,,,
2.0,10584,0.0,,,,,,,,,,,,,,
4.0,10595,0.0,,,,,,,,,,,,,,
4.0,10595,0.0,,,,,,,,,,,,,,
1.0,10595,0.0,,,,,,,,,,,,,,
1.0,10595,0.0,,,,,,,,,,,,,,
1.0,10595,0.0,,,,,,,,,,,,,,
4.0,10672,0.0,,,,,,,,,,,,,,
4.0,10672,0.0,,,,,,,,,,,,,,
3.0,10719,Other,,,,,,,,,,,,,,
1.0,10719,Other,,,,,,,,,,,,,,
1.0,10719,Other,,,,,,,,,,,,,,
3.0,10776,0.0,,,,,,,,,,,,,,
2.0,10776,0.0,,,,,,,,,,,,,,
1.0,10776,0.0,,,,,,,,,,,,,,
1.0,10776,0.0,,,,,,,,,,,,,,
3.0,10776,0.0,,,,,,,,,,,,,,
4.0,10829,0.0,,,,,,,,,,,,,,
1.0,10829,0.0,,,,,,,,,,,,,,
4.0,10843,0.0,,,,,,,,,,,,,,
4.0,10877,0.0,,,,,,,,,,,,,,
4.0,10903,0.0,,,,,,,,,,,,,,
4.0,10903,0.0,,,,,,,,,,,,,,
2.0,10907,0.0,,,,,,,,,,,,,,
4.0,10907,0.0,,,,,,,,,,,,,,
3.0,10995,0.0,,,,,,,,,,,,,,
3.0,10995,0.0,,,,,,,,,,,,,,
3.0,11030,0.0,,,,,,,,,,,,,,
2.0,11030,0.0,,,,,,,,,,,,,,
2.0,11167,0.0,,,,,,,,,,,,,,
4.0,11167,0.0,,,,,,,,,,,,,,
4.0,11406,0.0,,,,,,,,,,,,,,
4.0,11406,0.0,,,,,,,,,,,,,,
2.0,11414,0.0,,,,,,,,,,,,,,
1.0,11414,0.0,,,,,,,,,,,,,,
1.0,11414,0.0,,,,,,,,,,,,,,
2.0,11414,0.0,,,,,,,,,,,,,,
4.0,11468,0.0,,,,,,,,,,,,,,
1.0,11497,0.0,,,,,,,,,,,,,,
1.0,11497,0.0,,,,,,,,,,,,,,
1.0,11497,0.0,,,,,,,,,,,,,,
1.0,11497,0.0,,,,,,,,,,,,,,
1.0,11497,0.0,,,,,,,,,,,,,,
2.0,11519,0.0,,,,,,,,,,,,,,
1.0,11519,0.0,,,,,,,,,,,,,,
4.0,11534,0.0,,,,,,,,,,,,,,
3.0,11534,0.0,,,,,,,,,,,,,,
4.0,11614,0.0,,,,,,,,,,,,,,
3.0,11614,0.0,,,,,,,,,,,,,,
1.0,11614,0.0,,,,,,,,,,,,,,
1.0,11614,0.0,,,,,,,,,,,,,,
3.0,11618,0.0,,,,,,,,,,,,,,
4.0,11650,0.0,,,,,,,,,,,,,,
4.0,11650,0.0,,,,,,,,,,,,,,
4.0,11686,0.0,,,,,,,,,,,,,,
4.0,11686,0.0,,,,,,,,,,,,,,
1.0,11686,0.0,,,,,,,,,,,,,,
1.0,11686,0.0,,,,,,,,,,,,,,
2.0,11707,0.0,,,,,,,,,,,,,,
2.0,11707,0.0,,,,,,,,,,,,,,
1.0,11777,0.0,,,,,,,,,,,,,,
1.0,11777,0.0,,,,,,,,,,,,,,
1.0,11780,0.0,,,,,,,,,,,,,,
1.0,11780,0.0,,,,,,,,,,,,,,
2.0,11780,0.0,,,,,,,,,,,,,,
1.0,11780,0.0,,,,,,,,,,,,,,
1.0,11780,0.0,,,,,,,,,,,,,,
1.0,11780,0.0,,,,,,,,,,,,,,
4.0,11833,0.0,,,,,,,,,,,,,,
1.0,11833,0.0,,,,,,,,,,,,,,
2.0,12156,0.0,,,,,,,,,,,,,,
4.0,12156,0.0,,,,,,,,,,,,,,
2.0,12160,0.0,,,,,,,,,,,,,,
1.0,12160,0.0,,,,,,,,,,,,,,
1.0,12160,0.0,,,,,,,,,,,,,,
1.0,12160,0.0,,,,,,,,,,,,,,
1.0,12373,0.0,,,,,,,,,,,,,,
